,T-GA_0.7,T-GA_0.8,T-GA_1.0
0,2185.0,1292.3999999999996,568.0
1,1059.6000000000004,247.79999999999927,30.399999999999636
10,7067.200000000001,3816.3,1611.3999999999996
100,9470.0,5617.9,2716.3999999999996
101,3193.1000000000004,1276.7000000000007,424.7000000000007
102,3305.0,1445.2999999999993,242.29999999999927
103,1686.7000000000007,1262.3999999999996,456.39999999999964
104,1563.8999999999996,1091.2999999999993,90.39999999999964
107,1238.3999999999996,853.7999999999993,362.7000000000007
108,3027.3999999999996,2349.3999999999996,850.2999999999993
109,2246.0,752.2000000000007,505.7999999999993
11,6029.3,2739.6000000000004,836.2000000000007
110,5777.8,2284.1000000000004,626.6000000000004
111,1283.0,622.8999999999996,360.10000000000036
112,1647.0,854.7999999999993,461.7999999999993
113,4607.500000000001,4121.1,1085.2000000000007
114,1977.0,1120.2999999999993,712.1999999999989
115,2717.800000000001,1616.4000000000015,415.60000000000036
116,2055.1000000000004,1167.2000000000007,416.09999999999854
119,3682.3999999999996,887.6000000000004,756.7000000000007
12,4552.5,2697.8999999999996,738.0
120,6325.799999999999,7230.7,4859.6
123,1227.3999999999996,813.3000000000011,504.60000000000036
124,3001.600000000002,1375.5000000000018,627.7000000000007
125,2225.499999999998,1664.0999999999985,682.4999999999982
126,7223.900000000001,1432.800000000001,1910.9000000000015
127,1247.6000000000004,924.7000000000007,691.5
128,2558.2999999999993,1284.4000000000015,686.4000000000015
13,2826.7999999999993,1413.2000000000007,527.2999999999993
131,3234.300000000001,1414.4000000000015,691.8000000000029
132,7067.200000000001,3816.3,1611.3999999999996
133,1340.8999999999996,1578.1000000000004,451.2000000000007
134,2154.7000000000007,1047.300000000001,789.8000000000011
135,2524.2999999999993,1954.9999999999982,831.5999999999985
136,3307.500000000002,1439.4000000000015,1060.5000000000018
138,2470.5999999999985,1904.7999999999993,734.0999999999985
139,3315.5,2909.7000000000007,1284.0
14,2154.7000000000007,1047.300000000001,789.8000000000011
140,3281.499999999998,2180.699999999997,844.2999999999993
141,2885.0,2459.7999999999993,926.2999999999993
142,2879.0999999999985,2833.7999999999993,819.3999999999996
144,2329.3999999999996,1991.5,1076.2000000000007
145,6029.3,2739.6000000000004,836.2000000000007
146,1843.3999999999996,1878.2000000000007,621.2999999999993
147,1186.0,1011.7000000000007,752.1000000000022
148,4552.5,2697.8999999999996,738.0
149,2521.0,880.7999999999993,763.0
15,1918.8999999999996,1347.3999999999996,897.1999999999989
151,2374.0999999999985,1932.7999999999993,771.5
152,1918.8999999999996,1347.3999999999996,897.1999999999989
153,7850.3,2961.9000000000005,2948.6000000000004
154,2271.5999999999985,1494.699999999999,906.2999999999993
16,1289.7000000000007,1972.800000000001,720.6000000000004
17,2374.0999999999985,1932.7999999999993,771.5
18,1843.3999999999996,1878.2000000000007,621.2999999999993
19,2524.2999999999993,1954.9999999999982,831.5999999999985
20,2329.3999999999996,1991.5,1076.2000000000007
21,2271.5999999999985,1494.699999999999,906.2999999999993
22,2394.800000000001,1432.2000000000007,682.0
23,2770.3999999999996,2141.2999999999993,1014.3999999999996
24,2521.0,880.7999999999993,763.0
25,2557.8999999999996,867.7999999999993,947.7999999999993
26,1186.0,1011.7000000000007,752.1000000000022
27,3281.499999999998,2180.699999999997,844.2999999999993
28,3315.5,2909.7000000000007,1284.0
29,2885.0,2459.7999999999993,926.2999999999993
30,2185.0,1292.3999999999996,568.0
32,1059.6000000000004,247.79999999999927,30.399999999999636
39,1775.2000000000007,1187.800000000001,29.400000000001455
42,1737.300000000001,1301.0,206.90000000000146
46,1880.3999999999996,1336.300000000001,316.5
47,5990.0,3667.0,1527.5
48,3063.8999999999996,3037.7000000000007,92.60000000000036
50,2963.0999999999985,1113.699999999999,143.09999999999854
53,2030.6000000000004,2404.1000000000004,32.599999999998545
54,1248.3999999999996,486.2000000000007,92.5
56,5436.6,4431.6,275.5
57,2460.999999999998,885.5999999999985,691.5999999999985
58,1913.2000000000007,1476.2000000000007,28.600000000002183
61,1677.1000000000004,491.5,44.80000000000109
62,1731.3999999999996,900.6000000000004,273.10000000000036
63,2616.7000000000007,1396.2000000000007,90.0
65,1569.800000000001,774.3000000000011,26.399999999999636
66,4921.8,3360.7000000000003,2708.8
67,6825.400000000001,2461.1000000000004,48.70000000000073
68,4210.000000000001,5237.400000000001,483.90000000000146
69,1569.2000000000007,1014.9000000000015,102.10000000000036
70,1689.8999999999996,503.89999999999964,121.39999999999964
71,1942.1000000000004,1647.9000000000015,547.7000000000007
72,7913.599999999999,2410.3999999999996,308.5
73,1474.7000000000007,1691.2000000000007,376.3000000000011
74,1688.800000000001,1340.300000000003,221.70000000000073
76,1913.0,835.3000000000011,175.3000000000011
77,4462.9,1144.7000000000007,224.39999999999964
78,1433.3999999999996,822.6999999999989,406.10000000000036
79,2190.7000000000007,389.8000000000011,205.10000000000036
8,6325.799999999999,7230.7,4859.6
80,2071.5999999999985,766.8999999999996,191.20000000000073
81,2909.3999999999996,2573.2,2126.3
82,2270.600000000002,984.2000000000007,201.5
83,6140.5,3792.8999999999996,416.60000000000036
84,1968.0999999999985,1283.3999999999978,276.2999999999993
85,2292.0,1527.7999999999993,477.6999999999989
86,1326.0,2159.2999999999993,417.7999999999993
87,2183.2000000000007,1603.300000000001,509.2000000000007
88,2482.5,1647.6000000000022,285.1000000000022
9,7850.3,2961.9000000000005,2948.6000000000004
90,3663.2999999999993,3588.7999999999993,681.3999999999996
91,2940.4000000000015,1028.0,216.60000000000218
92,2902.7000000000007,1967.2999999999993,362.2000000000007
93,1307.7999999999993,1625.2999999999993,482.59999999999854
94,2394.800000000001,1432.2000000000007,682.0
95,2202.8999999999996,1089.2999999999993,487.7999999999993
96,3782.3999999999996,4160.799999999999,471.7999999999993
97,1819.5,1149.8999999999996,452.10000000000036
98,2383.600000000002,1894.2000000000007,815.4000000000015
